161,17.57,94.74,55.40,91.61,40.3964844,-4.0231271,611.20,0.12
162,17.63,94.75,55.49,109.03,40.3964844,-4.0231261,611.50,0.19
163,17.55,94.75,55.49,125.16,40.3964844,-4.0231252,611.20,0.08
164,17.65,94.75,55.54,127.10,40.3964844,-4.0231252,611.10,0.20
165,17.65,94.75,55.52,185.81,40.3964844,-4.0231252,610.80,0.27
166,17.65,94.75,55.64,205.81,40.3964844,-4.0231252,610.60,0.17
167,17.61,94.75,55.48,185.81,40.3964844,-4.0231266,610.40,0.25
168,17.61,94.75,55.38,213.55,40.3964806,-4.0231266,610.10,0.22
169,17.59,94.75,55.29,218.06,40.3964806,-4.0231271,610.30,0.22
170,17.55,94.75,55.28,198.71,40.3964844,-4.0231276,610.30,0.10
171,17.50,94.75,55.05,236.77,40.3964844,-4.0231295,610.10,0.08
172,17.52,94.74,55.17,216.13,40.3964844,-4.0231299,610.40,0.39
173,17.59,94.75,55.17,241.94,40.3964844,-4.0231314,610.40,0.10
174,17.57,94.75,55.08,248.39,40.3964844,-4.0231328,610.60,0.21
175,17.61,94.75,55.04,222.58,40.3964844,-4.0231333,610.10,0.05
176,17.55,94.75,54.95,290.32,40.3964844,-4.0231333,609.90,0.19
177,17.54,94.75,54.92,236.77,40.3964920,-4.0231333,609.80,0.29
178,17.59,94.75,55.02,224.52,40.3964920,-4.0231347,609.30,0.74
179,17.54,94.75,54.99,145.16,40.3964920,-4.0231352,609.50,0.43
180,17.61,94.75,54.99,103.87,40.3964920,-4.0231338,609.80,0.74
181,17.61,94.75,54.94,88.39,40.3964920,-4.0231318,609.60,1.15
182,17.61,94.75,54.86,92.26,40.3964920,-4.0231276,609.80,1.02
183,17.59,94.75,54.93,101.94,40.3964920,-4.0231261,609.60,0.52
184,17.57,94.75,55.07,92.26,40.3964844,-4.0231252,609.70,0.17
185,17.57,94.75,54.96,91.61,40.3964844,-4.0231252,610.00,0.16
186,17.66,94.75,54.93,87.74,40.3964844,-4.0231242,610.40,0.47
187,17.65,94.75,55.03,85.16,40.3964844,-4.0231223,611.00,1.02
188,17.65,94.75,54.91,97.42,40.3964806,-4.0231204,611.10,0.56
189,17.68,94.75,55.08,70.32,40.3964806,-4.0231204,611.10,0.84
190,17.65,94.75,55.32,82.58,40.3964844,-4.0231199,611.30,0.40
191,17.68,94.75,55.33,113.55,40.3964806,-4.0231199,611.20,0.74
192,17.63,94.75,55.32,95.48,40.3964806,-4.0231185,611.40,0.24
193,17.61,94.75,55.37,134.19,40.3964806,-4.0231190,611.70,0.67
194,17.63,94.75,55.22,161.94,40.3964806,-4.0231204,612.10,0.56
195,17.65,94.75,55.22,165.16,40.3964806,-4.0231190,612.20,0.99
196,17.52,94.75,55.24,181.94,40.3964767,-4.0231214,611.70,0.35
197,17.46,94.75,55.03,178.71,40.3964806,-4.0231242,611.40,0.77
198,17.41,94.75,55.11,165.81,40.3964806,-4.0231247,610.60,0.34
199,17.48,94.75,55.05,163.87,40.3964767,-4.0231266,610.30,0.06
200,17.50,94.75,55.16,152.90,40.3964806,-4.0231290,610.40,0.49
201,17.57,94.75,55.23,128.39,40.3964806,-4.0231299,610.30,0.25
202,17.52,94.75,55.14,122.58,40.3964806,-4.0231295,610.10,0.51
203,17.54,94.75,55.21,108.39,40.3964806,-4.0231276,609.90,0.42
204,17.55,94.75,55.23,127.10,40.3964806,-4.0231261,609.30,0.75
205,17.54,94.75,55.16,236.77,40.3964806,-4.0231266,609.10,1.11
206,17.61,94.75,55.15,223.87,40.3964806,-4.0231261,609.10,0.69
207,17.61,94.75,55.18,145.81,40.3964806,-4.0231252,608.80,1.09
